File for finger pose in 3D space, from left to right: id,roll,pitch,yaw,locx,locy,locz. The frequence of capturing is 50Hz
100000_0	0.2332	-13.3819	-0.9652	0.2331	-0.0360	-0.1645
100001_0	-0.1152	-13.5358	-0.7365	0.2332	-0.0362	-0.1643
100002_0	-0.2078	-13.6939	-0.6963	0.2332	-0.0362	-0.1642
100003_0	-0.0424	-13.9230	-0.8995	0.2334	-0.0361	-0.1641
100004_0	0.1823	-14.1981	-1.0354	0.2336	-0.0359	-0.1640
100005_0	0.2119	-14.3090	-1.0632	0.2336	-0.0359	-0.1639
100006_0	0.1222	-14.3514	-1.0287	0.2336	-0.0360	-0.1639
100007_0	0.0447	-14.3521	-0.9879	0.2336	-0.0361	-0.1639
100008_0	-0.0121	-14.3259	-0.9194	0.2336	-0.0362	-0.1639
100009_0	-0.0814	-14.3571	-0.7960	0.2336	-0.0362	-0.1639
100010_0	-0.2982	-14.5476	-0.6720	0.2337	-0.0363	-0.1638
100011_0	-0.4599	-14.6157	-0.6365	0.2337	-0.0364	-0.1638
100012_0	-0.3234	-14.6564	-0.7010	0.2338	-0.0363	-0.1637
100013_0	-0.2500	-14.7692	-0.7258	0.2338	-0.0363	-0.1637
100014_0	-0.2340	-14.8382	-0.7313	0.2339	-0.0363	-0.1636
100015_0	-0.2368	-14.9956	-0.7402	0.2339	-0.0363	-0.1636
100016_0	-0.1788	-15.0601	-0.7951	0.2340	-0.0362	-0.1636
100017_0	-0.2896	-14.8897	-0.9051	0.2338	-0.0364	-0.1636
100018_0	-0.3487	-14.7533	-1.0006	0.2338	-0.0364	-0.1636
100019_0	-0.4085	-14.8127	-1.0061	0.2338	-0.0364	-0.1636
100020_0	-0.7050	-14.8635	-0.8951	0.2338	-0.0366	-0.1636
100021_0	-1.5113	-14.8257	-0.7409	0.2339	-0.0372	-0.1636
100022_0	-1.9928	-14.9798	-0.6489	0.2339	-0.0375	-0.1636
100023_0	-3.1979	-15.3286	-0.4009	0.2341	-0.0382	-0.1635
100024_0	-5.1718	-15.5313	0.0345	0.2342	-0.0394	-0.1634
100025_0	-7.3056	-15.8214	0.3962	0.2344	-0.0406	-0.1633
100026_0	-9.3152	-15.9850	0.7364	0.2345	-0.0418	-0.1632
100027_0	-11.9072	-16.0846	1.1768	0.2346	-0.0433	-0.1631
100028_0	-14.5542	-16.2319	1.7381	0.2348	-0.0447	-0.1629
100029_0	-16.9812	-16.3332	2.3023	0.2349	-0.0460	-0.1626
100030_0	-19.3426	-16.4894	2.7576	0.2350	-0.0473	-0.1624
100031_0	-21.1104	-16.6033	3.0733	0.2352	-0.0483	-0.1621
100032_0	-23.0878	-16.5212	3.3912	0.2352	-0.0494	-0.1619
100033_0	-24.4964	-16.4113	3.6662	0.2352	-0.0501	-0.1617
100034_0	-25.4763	-16.2651	3.6815	0.2351	-0.0508	-0.1615
100035_0	-26.0055	-16.3051	3.5844	0.2351	-0.0511	-0.1614
100036_0	-26.5097	-16.5153	3.4688	0.2352	-0.0514	-0.1613
100037_0	-27.0450	-16.5081	3.4266	0.2352	-0.0518	-0.1611
100038_0	-27.7795	-16.2217	3.3358	0.2350	-0.0523	-0.1611
100039_0	-28.7072	-15.9126	3.0807	0.2348	-0.0530	-0.1610
100040_0	-29.6734	-15.7123	2.8881	0.2348	-0.0537	-0.1609
100041_0	-30.7505	-15.5975	2.7591	0.2347	-0.0543	-0.1608
100042_0	-32.2667	-15.4200	2.6864	0.2348	-0.0551	-0.1607
100043_0	-33.8713	-15.1525	2.6935	0.2348	-0.0559	-0.1605
100044_0	-35.8435	-14.7667	2.5983	0.2349	-0.0568	-0.1603
100045_0	-36.7280	-14.6349	2.5595	0.2349	-0.0572	-0.1601
100046_0	-36.7263	-14.6387	2.5604	0.2349	-0.0572	-0.1601
100047_0	-36.7232	-14.6357	2.5618	0.2349	-0.0572	-0.1601
100048_0	-36.7267	-14.6433	2.5599	0.2349	-0.0572	-0.1601
100049_0	-36.7251	-14.6356	2.5617	0.2349	-0.0572	-0.1601
100050_0	-36.7242	-14.6348	2.5624	0.2349	-0.0572	-0.1601
100051_0	-36.7239	-14.6414	2.5613	0.2349	-0.0572	-0.1601
100052_0	-36.7268	-14.6394	2.5592	0.2349	-0.0572	-0.1601
100053_0	-36.7274	-14.6398	2.5607	0.2349	-0.0572	-0.1601
100054_0	-36.7283	-14.6440	2.5605	0.2349	-0.0572	-0.1601
100055_0	-36.7261	-14.6447	2.5580	0.2349	-0.0572	-0.1601
100056_0	-36.7279	-14.6453	2.5592	0.2349	-0.0572	-0.1601
100057_0	-36.7285	-14.6423	2.5616	0.2349	-0.0572	-0.1601
100058_0	-36.7243	-14.6512	2.5612	0.2349	-0.0572	-0.1601
100059_0	-36.7258	-14.6474	2.5614	0.2349	-0.0572	-0.1601
100060_0	-36.7271	-14.6421	2.5626	0.2349	-0.0572	-0.1601
100061_0	-36.7274	-14.6504	2.5618	0.2349	-0.0572	-0.1601
